topology,algorithm,rate,blocking_probability,blocking_ci95,mean_bottleneck_fidelity,fidelity_ci95,mean_max_utilization,util_ci95,mean_decision_latency_ms,latency_ci95,mean_hops,mean_distance_km,total_runs
mesh9,ga_tcheby_proxy,100,0.9955000000000002,1.5386906095100995e-16,0.9273004444444443,1.5386906095100995e-16,1.0560345000000003e-05,2.3478555442964165e-21,0.5,0.0,0.007,0.148,3
mesh16,distance,20,0.715,0.0,0.9584039596491226,0.0,0.03854818445,0.0,0.02,0.0,0.793,18.5395,3
mesh16,keyaware,20,0.715,0.0,0.9602572807017543,0.0,0.04747726036,0.0,0.05000000000000001,9.616816309438122e-18,0.793,18.5395,3
mesh16,random,20,0.7205,0.0,0.9541034830053666,1.5386906095100995e-16,0.06300234799,0.0,0.01,0.0,1.4585,34.22,3
mesh16,ga_tcheby_proxy,20,0.7265,0.0,0.9608268427787934,0.0,0.031700970365,0.0,0.5,0.0,0.7435,17.4055,3
mesh16,distance,50,0.9445,0.0,0.9358146126126125,0.0,0.002060852635,0.0,0.02,0.0,0.156,3.6705,3
mesh16,keyaware,50,0.9445,0.0,0.939517207207207,0.0,0.002158656085,0.0,0.05000000000000001,9.616816309438122e-18,0.156,3.6705,3
mesh16,random,50,0.9465,0.0,0.9288221028037386,1.5386906095100995e-16,0.0035151384199999997,6.010510193398826e-19,0.01,0.0,0.258,6.063,3
mesh16,ga_tcheby_proxy,50,0.9395000000000001,1.5386906095100995e-16,0.9433098925619833,0.0,0.00236226102,0.0,0.5,0.0,0.162,3.8175000000000003,3
mesh16,distance,100,0.9975,0.0,0.9209558000000001,0.0,3.87597e-06,0.0,0.02,0.0,0.0075,0.1725,3
mesh16,keyaware,100,0.9975,0.0,0.9214392,0.0,1.264792e-05,0.0,0.05000000000000001,9.616816309438122e-18,0.0075,0.1725,3
mesh16,random,100,0.993,0.0,0.9158731428571428,1.5386906095100995e-16,9.979439000000001e-05,0.0,0.01,0.0,0.035,0.8210000000000001,3
mesh16,ga_tcheby_proxy,100,0.9955000000000002,1.5386906095100995e-16,0.9211376666666666,0.0,2.3788705000000002e-05,0.0,0.5,0.0,0.015,0.3495,3
irregular12,distance,20,0.719,0.0,0.9525693896797152,0.0,0.04757304078,0.0,0.02,0.0,0.6535,15.901000000000002,3
irregular12,keyaware,20,0.719,0.0,0.9532130320284696,0.0,0.04754000214,9.616816309438122e-18,0.05000000000000001,9.616816309438122e-18,0.6535,15.9365,3
irregular12,random,20,0.7334999999999999,1.5386906095100995e-16,0.9417798030018761,0.0,0.06875629988500001,0.0,0.01,0.0,1.216,30.706499999999995,3
irregular12,ga_tcheby_proxy,20,0.7360000000000001,1.5386906095100995e-16,0.9524988257575758,0.0,0.03975560754,0.0,0.5,0.0,0.599,14.8185,3
irregular12,distance,50,0.9335,0.0,0.9376753984962406,0.0,0.00323218888,0.0,0.02,0.0,0.154,3.7835,3
irregular12,keyaware,50,0.9335,0.0,0.9383428947368421,0.0,0.00324231235,0.0,0.05000000000000001,9.616816309438122e-18,0.154,3.7999999999999994,3
irregular12,random,50,0.941,0.0,0.929241813559322,1.5386906095100995e-16,0.005360005514999999,1.2021020386797653e-18,0.01,0.0,0.2205,5.586000000000001,3
irregular12,ga_tcheby_proxy,50,0.9369999999999999,1.5386906095100995e-16,0.9393690793650794,0.0,0.00323821448,0.0,0.5,0.0,0.14,3.483,3
irregular12,distance,100,0.9895,0.0,0.9218810476190474,0.0,0.000149892125,0.0,0.02,0.0,0.026,0.659,3
irregular12,keyaware,100,0.9895,0.0,0.9222945238095237,0.0,0.000151059925,0.0,0.05000000000000001,9.616816309438122e-18,0.026,0.663,3
irregular12,random,100,0.993,0.0,0.930894642857143,0.0,7.696227e-05,0.0,0.01,0.0,0.019,0.4789999999999999,3
irregular12,ga_tcheby_proxy,100,0.992,0.0,0.9336662499999999,0.0,7.946516e-05,0.0,0.5,0.0,0.02,0.4845,3
