# src,dst,distance_km,base_key_rate,coherence_ms,qber
0,3,20,4800,55,0.025
3,0,20,4800,55,0.025
0,1,22,4800,55,0.03
1,0,22,4800,55,0.03
1,4,20,4800,55,0.025
4,1,20,4800,55,0.025
1,2,22,4800,55,0.03
2,1,22,4800,55,0.03
2,5,20,4800,55,0.025
5,2,20,4800,55,0.025
3,6,20,4800,55,0.025
6,3,20,4800,55,0.025
3,4,22,4800,55,0.03
4,3,22,4800,55,0.03
4,7,20,4800,55,0.025
7,4,20,4800,55,0.025
4,5,22,4800,55,0.03
5,4,22,4800,55,0.03
5,8,20,4800,55,0.025
8,5,20,4800,55,0.025
6,7,22,4800,55,0.03
7,6,22,4800,55,0.03
7,8,22,4800,55,0.03
8,7,22,4800,55,0.03
