category,path,bytes,sha256
documentation,docs/rl/p2_environment_contract.md,1813,c1bd4be06d0f314f2806c6ca48767870ab208c707630f0c71a3d7bd97ab2c9ad
documentation,docs/rl/p2_exit_gate.md,1200,21552d73a649c8ddb44d45981277a2d367914968ca38a3eddee1958146a5f50e
documentation,docs/rl/p2_forced_fixed_gate.md,1788,4e791f5d1dd12d24ea710011ef4f08e18d3206a50e644826b7ad906c8d041cf7
documentation,docs/rl/p2_h2_boundary.md,1364,de356f3709a059f98e7ffc27c7383952beb9bc433f19fc0257973c3b4ce4271e
documentation,docs/rl/p2_hardware_coefficient_audit.md,2042,96c48917a48b84aa17eae254841c1eaf0f5791267be37ac738190c44123a3094
documentation,docs/rl/p2_mdp_contract.md,2586,3325af7465d7360b4f84fe919c8e8f688d8867b8af158858cb4af3b80bca54f0
documentation,docs/rl/p2_sensitivity_protocol.md,2500,c91de047a9659745abbfa552b1cbc5e6d618add85dafa22eca03ad8206fae556
documentation,docs/rl/p2_status.md,1625,9e44b54c7e8f7a9fa72da091736d9f5f2e3d687d120ad4ba49fe0606cb44c950
implementation_source,reference_model.py,63001,82d6935240a05b51ef989c4f55b0de26f630d74dcd52bbc88b352a1860db75e2
generated_evidence,results/rl/p2_contract/SHA256SUMS,91,17f2d822959d1896630e547edb6864bad6aae0a36070ffa8806080e6fd46b1c0
generated_evidence,results/rl/p2_contract/contract_validation.json,566,3b308947171316880c4bf3f9b6eb58449baee3dbe136194e96757a2aa42304a7
generated_evidence,results/rl/p2_environment/SHA256SUMS,256,84e3ec3481d7099fb01b88a235669bd9386086cdbe050c4525f9049d7d730be7
generated_evidence,results/rl/p2_environment/manual_step_log.csv,565,1f18e6486196cafc8f41b677f4d231ef50810e0d2a935516fa66c35677ebd6bf
generated_evidence,results/rl/p2_environment/manual_trace.json,14693,78c32e67363f4568c427c59553fdbfd49adfad548617e89ca616f67a2526bd48
generated_evidence,results/rl/p2_environment/trace_manifest.json,3792,25695d525f38ef4a95162edfe6213dcc8c88ade8999983c110d43b2b47dadfbd
generated_evidence,results/rl/p2_forced_fixed/SHA256SUMS,364,f8085a8d2a0758cae7514f8180b884a1d4e31ee3791a822234a1ba8e3c505a59
generated_evidence,results/rl/p2_forced_fixed/forced_balanced_manual.csv,511,8a33b950bb29bee8e69adc2eddc5f4f68ddafbe96e696b48b83c2e2ad985f55f
generated_evidence,results/rl/p2_forced_fixed/forced_balanced_trace_summary.csv,2951,381e6969ebc414d4674eafdd4e2ddaa9d87d9fceb3e9975a1efd3968ca950ddc
